artist_name,artist_id,popularity,artist_followers,genres,image
The Naked And The Dead,16HZrqib5dArFNZ7YgukCU,21,18483,"['deathrock', 'post-punk', 'darkwave', 'cold wave']",https://i.scdn.co/image/ab67616d0000b2731759ae322129aec7cff3907a
Latin Quarter,2Wd6dWP1QK0ofkTvTWjhTZ,22,5153,[],https://i.scdn.co/image/ab67616d0000b273ea84554bb45fd9370873db07
The English Concert,2Oz3z7PPQUMU2KNYgcO1sA,56,21930,['classical'],https://i.scdn.co/image/ab6761610000e5eb55b58d0ec2693200440f1f51
Raven,1EH9eSje47IiRyVsq3gfkl,21,71801,"['speed metal', 'heavy metal', 'thrash metal']",https://i.scdn.co/image/ab6761610000e5eb098837bb03136c5b588b6e4d
El Pelos,0olRBwuh8P1adSECxfoQpH,25,5075,['flamenco'],https://i.scdn.co/image/ab67616d0000b27305ef2d6960c33d289cdacb23
Šerif Konjević,1aHoakiZszLMgJcqXMaEw8,38,82853,[],https://i.scdn.co/image/ab67616d0000b273a88777dbfabe9fbafd6ca129
Alisha,5QrhSuPUQ0vDFWdb38YPHN,23,13244,"['freestyle', 'chicago house', 'hi-nrg', 'italo disco']",https://i.scdn.co/image/ab6761610000e5eb103bf33aa7e86b053928c185
Orchestre Fayçal,5ONTXvQLGzJnsj4p28aGF1,11,1442,"['moroccan chaabi', 'gnawa', 'raï']",https://i.scdn.co/image/ab6761610000e5eb3773ebc87ec02c2a3a76234b
Tommy Shaw,6cMIEub9j2vbMGF3GOETWi,35,37672,"['album rock', 'arena rock']",https://i.scdn.co/image/ab6772690000c46c83cdccd01af3592e0d68f6c3
Kix,45KpBChrKYWhTlU6N57ofu,43,304881,"['glam metal', 'glam rock', 'hard rock']",https://i.scdn.co/image/38be85e1a7bec745b422558ccb41dccb9c9e61b9
Zedek Mouloud,6GZF616SfG97MxKlOAW0pm,28,16514,['algerian chaabi'],https://i.scdn.co/image/ab6761610000e5ebfdaba879a917d5c0c622d670
Golden Bough,4oMDJ1BARLl3ZgFfV0f9Os,33,2643,"['celtic', 'medieval']",https://i.scdn.co/image/ab67616d0000b273fcb93b6fd29bf7843cbd985a
