artist_name,artist_id
Linkin Park,6XyY86QOPPrYVGvF9ch6wz
Limp Bizkit,165ZgPlLkK7bf5bDoFc6Sb
Deftones,6Ghvu1VvMGScGpOUJBAHNH
Alice Deejay,2tbvDi9eXf9XXp06LupkED
Radiohead,4Z8W4fKeB5YxbusRsdQVPb
Alizée,53deL58uye6fCqRK4COtR4
Blur,7MhMgCo0Bl0Kukl93PZbYS
*NSYNC,6Ff53KvcvAj5U7Z1vojB5o
The Offspring,5LfGQac0EIXyAN8aUwmNAQ
Louise Attaque,4CAsSAU842glNKJX71ndA9
Nuttea,65LSKdbofg1NdWkaLSVXKc
Garou,1oXtLNYfNMQLxWsatCTCCn
3 Doors Down,2RTUTCvo6onsAnheUk3aL9
Robbie Williams,2HcwFjNelS49kFbfvMxQYw
The Beatles,3WrFJ7ztbogyGnTHbHJFl2
Eminem,7dGJo4pcD2V6oG8kP0tJRR
U2,51Blml2LZPmy7TTiAg47vQ
Florent Pagny,0g7hZVprd3orBpMrSLWeJ9
Nèg' Marrons,1C2qs1UQDDtf7N1XrS2lcW
The Lyndhurst Orchestra,6djeIA7Gl9v9gvnpRc1eIF
Bon Jovi,58lV9VcRSjABbAbfWS6skp
Téléphone,3fQq9bb2ZKNv24V1A4vwBK
Axel Bauer,7H9BHRpRnP55YwZpFLAVmd
Lunatic,2T94BUd6X8J1G5EfJj3hZr
Phoenix,1xU878Z1QtBldR7ru9owdU
Hélène Ségara,4jqOuZDAtFnB3uGEnNxlvX
Britney Spears,26dSoYclwsYLMAKD3tpOr4
Christina Aguilera,1l7ZsJRRS8wlW3WfJfPfNS
De Palmas,5GUi6Czd9ReKfaRGQsi9dI
Galt MacDermot,3b6TinIPahsS8iSCYAeinr
Craig David,2JyWXPbkqI5ZJa3gwqVa0c
Outkast,1G9G7WwrXka3Z1r7aIDjI7
Hans Zimmer,0YC192cP3KPCRWx8zr8MfZ
Scred Connexion,5ZtIEcmzQosu8SDKWgwc86
Air,1P6U1dCeHxPui5pIrGmndZ
Coldplay,4gzpq5DPGxSnKTe4SA8HAU
Henri Salvador,0TQUgpZqEnfluYEfKQBYB6
Shaggy,5EvFsr3kj42KNv97ZEnqij
Daniel Guichard,0lFr08kPxkwkXfsrHSmPvs
Enya,6uothxMWeLWIhsGeF7cyo4
Keren Ann,4v1YZL83eLyemlt32wWAoA
Lucy Pearl,0OUXTnqjvTg4iZ7Lhq6vv7
Nelly Furtado,2jw70GZXlAI8QzWeY2bgRc
Toploader,6xeFne1rkxMhKSW3ipvkdV
Sade,47zz7sob9NUcODy0BTDvKx
Erykah Badu,7IfculRW2WXyzNQ8djX8WX
Ahmed Bukhatir,7H045XjM40okitH2R60OrR
Disturbed,3TOqt5oJwL9BE2NG9MEwDa
Superfunk,1CbopBMbfM0ned5OAsTkv4
Various Artists,0LyfQWJT6nXafLPZqxe9Of
ERA,4D0CepDROoLM09ht1sM5cu
Panchiko,4KEHIUSoWCcqrk8AddTE1O
Marilyn Manson,2VYQTNDsvvKN9wmU5W7xpj
A Touch Of Class,5wTdspmxzb8V4ZjvDodpBo
Madonna,6tbjWDEIzxoDsBA1FuhfPW
Les Amis D'ta Femme,27zZxSk7AynBSC0XYiivLp
M.O.P.,1BH45DVSTeGBvcYXNCd67g
Darude,0LhHRmSd1EYM5QdNeNnCoQ
Nelly,2gBjLmx6zQnFGQJCAQpRgw
La Clinique,47NHcwh7V1kVlxr9Co6k1r
Merzhin,4ni1VfqTNIvsJKTDuiN64f
St Germain,484sZUYmnRXN84zmk3GY1n
Assia,0WKc7pYKaii63dISJolHAQ
The Hives,4DToQR3aKrHQSSRzSz8Nzt
Mark Knopfler,0FI0kxP0BWurTz8cB8BBug
Toni Braxton,3X458ddYA2YcVWuVIGGOYe
Lenny Kravitz,5gznATMVO85ZcLTkE9ULU7
Texas,5JsdVATHNPE0XdMFMRoSuf
Saian Supa Crew,6XaUaXu0cGAFK1AlQkl1b6
The Temptations,3RwQ26hR2tJtA8F9p2n7jG
All Saints,5TDVKqW9uhqGjwwwKGuma4
Thomas Newman,1csBgT42N4pPPs1HJhxXIK
Isabelle Boulay,5gx3I0a3G8F4hui6GZLfQF
Lisa Gerrard,3C4MmUJYQN9svNdedAR2BK
Michel Delpech,4T795JhhCZMWM01DLcX98p
PJ Harvey,12VaqyEhgwDRuFfEqbnrpz
Patrick Fiori,18PkzXDURSTyGZTg9w66qq
Mindless Self Indulgence,5R5MLOQbI4lb7GHYioPqoN
Mes Souliers Sont Rouges,4IyUYsH5XMy3tgfBfeHRO6
Thievery Corporation,25KNo5GDS6ZpLkjasaecA3
Pierpoljak,3CRdoyoe02HlMCvt6VD7RG
Michel Fugain,3Uitc0uNSbhVrqJON4NCMY
C. Jérôme,4tJSPijz99rQ8cNtr7DYMH
Lara Fabian,7ocwZINHqO9DZJgFtc1B20
King Africa,2vAu3qMgOvtukijgajuXhM
Hooverphonic,5EP020iZcwBqHRnJftibXX
Yannick Noah,0BCkVcs4QEgfHlvZ7rjSNv
Frédéric Chopin,7y97mc3bZRFXzT2szRM4L4
UB40,69MEO1AADKg1IZrq2XLzo5
Philippe Sarde,4bYBV1q22KJiyT0z1pxFLK
Julie Pietri,4siBlVknVhh8jtVy9jHsDG
Thierry Cham,75E2yAVDzecPCYaNbLeNC5
Alan Cavé,1tNzo7FgikOLSyk1xf3cR2
