année,semaine,rang,artiste,album,id_spotify
2018,22,1,Moha La Squale,BENDERO,no id
2018,22,2,MAÎTRE GIMS,CEINTURE NOIRE,no id
2018,22,3,EDDY MITCHELL,LA MÊME TRIBU VOL 2,no id
2018,22,4,MARC LAVOINE,JE REVIENS À TOI,no id
2018,22,5,Dadju,Gentleman 2.0,no id
2018,22,6,Multi Interprètes,TAXI 5,no id
2018,22,7,Ninho,M.I.L.S. 2.0,no id
2018,22,8,Eddy de Pretto,Cure,no id
2018,22,9,Shawn Mendes,Shawn Mendes,0CIIqit3Id66HEi9djeWUw
2018,22,10,Hyphen Hyphen,HH,no id
2018,22,11,INDOCHINE,13,no id
2018,22,12,Marwa Loud,Loud,no id
2018,22,13,Orelsan,La fête est finie,no id
2018,22,14,JOK'AIR,Jok'Rambo,no id
2018,22,15,STING,44/876,no id
2018,22,16,Timal,Trop chaud,no id
2018,22,17,Ed Sheeran,÷,no id
2018,22,18,Naps,À l'instinct,no id
2018,22,19,Françoise Hardy,Personne d'autre,no id
2018,22,20,Hoshi,IL SUFFIT D'Y CROIRE,no id
2018,22,21,Djadja & Dinaz,Le revers de la médaille,no id
2018,22,22,LARTISTE,GRANDESTINO,no id
2018,22,23,A$AP Rocky,Testing,no id
2018,22,24,S.PRI NOIR,Masque blanc,no id
2018,22,25,Calogero,Liberté chérie,no id
2018,22,26,Niska,Commando,no id
2018,22,27,Vianney,VIANNEY,3sb3TaTkw7pdVD2V5cSBGi
2018,22,28,VITAA,J4m,no id
2018,22,29,Damso,Ipséité,no id
2018,22,30,Louane,Louane,no id
2018,22,31,LOMEPAL,FLIP,no id
2018,22,32,Bigflo & Oli,La vraie vie,no id
2018,22,33,Soprano,L'Everest,6jnZT7krckxCFer0Oz2JbB
2018,22,34,Vald,XEU,no id
2018,22,35,GAME OVER,GAME OVER,no id
2018,22,36,Therapie TAXI,Hit Sale,no id
2018,22,37,BOOBA,Trône,no id
2018,22,38,Kimberose,Chapter One,no id
2018,22,39,Post Malone,beerbongs & bentleys,no id
2018,22,40,ARCTIC MONKEYS,Tranquility Base Hotel & Casino,no id
2018,22,41,Elsa Esnoult,3,no id
2018,22,42,IMAGINE DRAGONS,Evolve,no id
2018,22,43,KeBlack,Appartement 105,no id
2018,22,44,Charlie Puth,Voicenotes,no id
2018,22,45,LORENZO,Rien à branler,no id
2018,22,46,PNL,Dans la légende,5GFHFEASZeJF0gyWuDDjGE
2018,22,47,Juliette Armanet,Petite Amie,no id
2018,22,48,Slimane,Solune,no id
2018,22,49,EDDY MITCHELL,LA MÊME TRIBU,no id
2018,22,50,Claudio Capéo,Claudio Capéo,no id
2018,22,51,CORNEILLE,LOVE & SOUL,no id
2018,22,52,Naza,C'est la loi,no id
2018,22,53,Ninho,Comme prévu,no id
2018,22,54,ROMÉO ELVIS,MORALE 2,no id
2018,22,55,BENABAR,Le Début de la suite,no id
2018,22,56,Fatoumata Diawara,Fenfo,no id
2018,22,57,Sofiane,Affranchis,no id
2018,22,58,Niro,Mens Rea,no id
2018,22,59,P!NK,Beautiful Trauma,no id
2018,22,60,JUL,La tête dans les nuages,no id
2018,22,61,FLORENT PAGNY,Tout simplement,no id
2018,22,62,4Keus Gang,Hors série vol. 2,no id
2018,22,63,RÉMY,C'EST RÉMY,no id
2018,22,64,LES ENFOIRÉS,Enfoirés 2018 musique !,no id
2018,22,65,JULIEN DORÉ,&,2JIk3csX6RdYMCmpyStgVj
2018,22,66,XXXTENTACION,?,no id
2018,22,67,Lacrim,R.I.P.R.O 3,no id
2018,22,68,Lefa,3 du mat,no id
2018,22,69,Amir,Addictions,no id
2018,22,70,Calypso Rose,SO CALYPSO !,no id
2018,22,71,Kygo,Kids in Love,no id
2018,22,72,Multi Interprètes,ON A TOUS QUELQUE CHOSE DE JOHNNY,no id
2018,22,73,Rag'n'Bone Man,HUMAN (DELUXE),1rMmiDKa8V5H9yYTPAbLng
2018,22,74,GRAND CORPS MALADE,Plan B,no id
2018,22,75,Nekfeu,Cyborg,3jTg4M1B2uqVmJAXmKOB2Y
2018,22,76,Cardi B,Invasion of Privacy,no id
2018,22,77,Snow Patrol,Wildness,no id
2018,22,78,Madame Monsieur,Vu d'ici,no id
2018,22,79,J. Balvin,Vibras,no id
2018,22,80,Multi Interprètes,BLACK PANTHER THE ALBUM MUSIC FROM AND INSPIRED BY,no id
2018,22,81,Brigitte,Nues,no id
2018,22,82,KAARIS,Dozo,no id
2018,22,83,PLK,Platinum,no id
2018,22,84,Naps,Pochon bleu,no id
2018,22,85,JULIEN DORÉ,Vous & moi,no id
2018,22,86,FRANÇOISE FABIAN,FRANÇOISE FABIAN,no id
2018,22,87,DEMI PORTION,SUPER HÉROS,no id
2018,22,88,Multi Interprètes,CINQUANTE NUANCES PLUS CLAIRES,no id
2018,22,89,Kids United,Tout le bonheur du monde,no id
2018,22,90,YL,Confidences,no id
2018,22,91,CATS ON TREES,Neon,no id
2018,22,92,4Keus,La vie continue,no id
2018,22,93,FLORENT PAGNY,Le présent d'abord,no id
2018,22,94,The Weeknd,"My Dear Melancholy,",no id
2018,22,95,Migos,Culture II,no id
2018,22,96,LUIS FONSI,DESPACITO & MIS GRANDES ÉXITOS,no id
2018,22,97,MIKE BRANT,UN GRAND BONHEUR / BEST OF 2018,no id
2018,22,98,Kids United,Forever United,no id
2018,22,99,Camila Cabello,CAMILA,no id
2018,22,100,MICHEL SARDOU,Le choix du fou,no id
2018,22,101,Vald,AGARTHA,no id
2018,22,102,Dinos,Imany,no id
2018,22,103,Alonzo,100 %,no id
2018,22,104,Kalash,Mwaka Moon,no id
2018,22,105,Slimane,À bout de rêves,6SFxvT7VAgjrRwJRysXv2U
2018,22,106,Anne-Marie,Speak Your Mind,no id
2018,22,107,BTS,LOVE YOURSELF 'TEAR',no id
2018,22,108,Petit Biscuit,Presence,no id
2018,22,109,MC Solaar,Géopoétique,no id
2018,22,110,Amaury Vassili,AMAURY,no id
2018,22,111,Damso,Batterie faible,1RrXkWJPDqx6W8ZsJTXYAb
2018,22,112,"-M-, TOUMANI DIABATÉ, SIDIKI DIABATÉ",LAMOMALI,no id
2018,22,113,Clara Luciani,SAINTE VICTOIRE,no id
2018,22,114,U2,Songs Of Experience,no id
2018,22,115,Alain Chamfort,Le désordre des choses,no id
2018,22,116,Pusha T,DAYTONA,no id
2018,22,117,Pins & Dimeh,Houston,no id
