année,semaine,rang,artiste,titre,id_spotify
2015,1,1,David Guetta,Dangerous,no id
2015,1,2,Ariana Grande,Love me harder,no id
2015,1,3,Josef Salvat,Diamonds,no id
2015,1,4,Mark Ronson,Uptown funk,no id
2015,1,5,Kendji Girac,Andalouse,no id
2015,1,6,Black M.,Je garde le sourire,no id
2015,1,7,Christine and the Queens,Saint Claude,no id
2015,1,8,Robin Schulz,Sun goes down,no id
2015,1,9,Calvin Harris,Outside,no id
2015,1,10,Soprano,Cosmo,no id
2015,1,11,Emma Louise,My head is a jungle,no id
2015,1,12,Julien Doré feat. Micky Green,Chou wasabi,no id
2015,1,13,Alesso feat. Tove Lo,Heroes (We could be),no id
2015,1,14,Calvin Harris,Open wide,no id
2015,1,15,Fréro Delavega,Sweet darling,no id
2015,1,16,Black M.,On s'fait du mal,no id
2015,1,17,The Script,Superheroes,no id
2015,1,18,Timmy Trumpet & Savage,Freaks (Vocal),no id
2015,1,19,Maroon 5,Animals,no id
2015,1,20,George Ezra,Budapest,no id
2015,1,21,Sia,Big girls cry,no id
2015,1,22,Charli XCX,Break the rules,no id
2015,1,23,Coldplay,A sky full of stars,no id
2015,1,24,Meghan Trainor,All about that bass,no id
2015,1,25,Jeremih,Don't tell 'em,no id
2015,1,26,Lilly Wood & the Prick and Robin Schulz,Prayer in C (Robin Schulz remix),no id
2015,1,27,Soprano feat. Uncle Phil,Fresh Prince,no id
2015,1,28,Calogero,Le portrait,no id
2015,1,29,Shaniz feat. Maitre Gims,A contre sens,no id
2015,1,30,Sam Smith,Stay with me,no id
2015,1,31,Iggy Azalea,Black widow,no id
2015,1,32,Blacko,Le temps est compté,no id
2015,1,33,Alain Souchon et Laurent Voulzy,Derrière les mots,no id
2015,1,34,Sam Smith,I'm not the only one,no id
2015,1,35,Martin Tungevaag,Wicked wonderland,no id
2015,1,36,Hozier,Take me to church,no id
2015,1,37,Calogero,Un jour au mauvais endroit,no id
2015,1,38,Sidaction,Kiss & love,no id
2015,1,39,Mac Tyer feat. Maître Gims,Laisse-moi te dire,no id
2015,1,40,Galantis,Runaway (U & I),no id
2015,1,41,Calvin Harris,Blame,no id
2015,1,42,Black M. feat. The Shin Sekaï & Doomams,Je ne dirai rien,no id
2015,1,43,Corson,Loud,no id
2015,1,44,Chawki feat. Dr. Alban,It's my life (C'est ma vie),no id
2015,1,45,Tenny,Action ou vérité,no id
2015,1,46,JUL,Je trouve pas le sommeil,no id
2015,1,47,ZHU,Faded,no id
2015,1,48,Vianney,Pas là,no id
2015,1,49,Kyo,Le graal,no id
2015,1,50,Selah Sue,Alone,no id
2015,1,51,Usher,She came to give it to you,no id
2015,1,52,Taylor Swift,Shake it off,no id
2015,1,53,M. Pokora,Le monde,no id
2015,1,54,The Avener,Fade out lines,no id
2015,1,55,Brigitte,A bouche que veux-tu,no id
2015,1,56,Nico & Vinz,In your arms (Dans tes bras),no id
2015,1,57,Charli XCX,Boom clap,no id
2015,1,58,Imagine Dragons,Demons,no id
2015,1,59,Kendji Girac,Elle m'a aimé,no id
2015,1,60,Patrick Fiori,Choisir,no id
2015,2,1,David Guetta,Dangerous,no id
2015,2,2,Ariana Grande,Love me harder,no id
2015,2,3,Mark Ronson,Uptown funk,no id
2015,2,4,Josef Salvat,Diamonds,no id
2015,2,5,Kendji Girac,Andalouse,no id
2015,2,6,Black M.,Je garde le sourire,no id
2015,2,7,Christine and the Queens,Saint Claude,no id
2015,2,8,Robin Schulz,Sun goes down,no id
2015,2,9,Calvin Harris,Outside,no id
2015,2,10,Emma Louise,My head is a jungle,no id
2015,2,11,Soprano,Cosmo,no id
2015,2,12,Charli XCX,Break the rules,no id
2015,2,13,The Script,Superheroes,no id
2015,2,14,Julien Doré feat. Micky Green,Chou wasabi,no id
2015,2,15,Alesso feat. Tove Lo,Heroes (We could be),no id
2015,2,16,Black M.,On s'fait du mal,no id
2015,2,17,Timmy Trumpet & Savage,Freaks (Vocal),no id
2015,2,18,Sia,Big girls cry,no id
2015,2,19,Calvin Harris,Open wide,no id
2015,2,20,George Ezra,Budapest,no id
2015,2,21,Calogero,Le portrait,no id
2015,2,22,Maroon 5,Animals,no id
2015,2,23,Coldplay,A sky full of stars,no id
2015,2,24,Hozier,Take me to church,no id
2015,2,25,Jeremih,Don't tell 'em,no id
2015,2,26,Lilly Wood & the Prick and Robin Schulz,Prayer in C (Robin Schulz remix),no id
2015,2,27,Fréro Delavega,Sweet darling,no id
2015,2,28,Blacko,Le temps est compté,no id
2015,2,29,Soprano feat. Uncle Phil,Fresh Prince,no id
2015,2,30,Shaniz feat. Maitre Gims,A contre sens,no id
2015,2,31,Sam Smith,I'm not the only one,no id
2015,2,32,Sam Smith,Stay with me,no id
2015,2,33,Galantis,Runaway (U & I),no id
2015,2,34,Alain Souchon et Laurent Voulzy,Derrière les mots,no id
2015,2,35,Martin Tungevaag,Wicked wonderland,no id
2015,2,36,Meghan Trainor,All about that bass,no id
2015,2,37,Iggy Azalea,Black widow,no id
2015,2,38,ZHU,Faded,no id
2015,2,39,Mac Tyer feat. Maître Gims,Laisse-moi te dire,no id
2015,2,40,Madonna,Living for love,no id
2015,2,41,Tenny,Action ou vérité,no id
2015,2,42,Calvin Harris,Blame,no id
2015,2,43,Taylor Swift,Shake it off,no id
2015,2,44,Corson,Loud,no id
2015,2,45,Calogero,Un jour au mauvais endroit,no id
2015,2,46,Sidaction,Kiss & love,no id
2015,2,47,JUL,Je trouve pas le sommeil,no id
2015,2,48,Black M. feat. The Shin Sekaï & Doomams,Je ne dirai rien,no id
2015,2,49,The Avener,Fade out lines,no id
2015,2,50,Kendji Girac,Elle m'a aimé,no id
2015,2,51,Vianney,Pas là,no id
2015,2,52,Usher,She came to give it to you,no id
2015,2,53,Katy Perry,Legendary lovers,no id
2015,2,54,AronChupa,I'm an albatraoz,no id
2015,2,55,Christine and the Queens,Christine,no id
2015,2,56,Will Sparks,Ah yeah so what,no id
2015,2,57,Fréro Delavega,Mon petit pays,no id
2015,2,58,Selah Sue,Alone,no id
2015,2,59,Imagine Dragons,Demons,no id
2015,2,60,Rune RK,Calabria,no id
2015,3,1,Mark Ronson,Uptown funk,no id
2015,3,2,David Guetta,Dangerous,no id
2015,3,3,Black M.,Je garde le sourire,no id
2015,3,4,Black M.,On s'fait du mal,no id
2015,3,5,Christine and the Queens,Saint Claude,no id
2015,3,6,Calvin Harris,Outside,no id
2015,3,7,Ariana Grande,Love me harder,no id
2015,3,8,Robin Schulz,Sun goes down,no id
2015,3,9,Charli XCX,Break the rules,no id
2015,3,10,Josef Salvat,Diamonds,no id
2015,3,11,Emma Louise,My head is a jungle,no id
2015,3,12,Timmy Trumpet & Savage,Freaks (Vocal),no id
2015,3,13,Alesso feat. Tove Lo,Heroes (We could be),no id
2015,3,14,Calvin Harris,Open wide,no id
2015,3,15,Sia,Big girls cry,no id
2015,3,16,Julien Doré feat. Micky Green,Chou wasabi,no id
2015,3,17,Soprano,Cosmo,no id
2015,3,18,Hozier,Take me to church,no id
2015,3,19,Galantis,Runaway (U & I),no id
2015,3,20,Kendji Girac,Andalouse,no id
2015,3,21,The Script,Superheroes,no id
2015,3,22,Calogero,Le portrait,no id
2015,3,23,George Ezra,Budapest,no id
2015,3,24,Shaniz feat. Maitre Gims,A contre sens,no id
2015,3,25,Coldplay,A sky full of stars,no id
2015,3,26,Sam Smith,I'm not the only one,no id
2015,3,27,Soprano feat. Uncle Phil,Fresh Prince,no id
2015,3,28,Blacko,Le temps est compté,no id
2015,3,29,Lilly Wood & the Prick and Robin Schulz,Prayer in C (Robin Schulz remix),no id
2015,3,30,Maroon 5,Animals,no id
2015,3,31,Alain Souchon et Laurent Voulzy,Derrière les mots,no id
2015,3,32,Mac Tyer feat. Maître Gims,Laisse-moi te dire,no id
2015,3,33,Fréro Delavega,Sweet darling,no id
2015,3,34,Iggy Azalea,Black widow,no id
2015,3,35,Jeremih,Don't tell 'em,no id
2015,3,36,David Guetta,What I did for love,no id
2015,3,37,Martin Tungevaag,Wicked wonderland,no id
2015,3,38,Sam Smith,Stay with me,no id
2015,3,39,Tenny,Action ou vérité,no id
2015,3,40,ZHU,Faded,no id
2015,3,41,Kendji Girac,Elle m'a aimé,no id
2015,3,42,Ed Sheeran,Thinking out loud,no id
2015,3,43,Taylor Swift,Shake it off,no id
2015,3,44,Corson,Loud,no id
2015,3,45,M. Pokora,Le monde,no id
2015,3,46,AronChupa,I'm an albatraoz,no id
2015,3,47,Echosmith,Cool kids,no id
2015,3,48,The Avener,Fade out lines,no id
2015,3,49,Meghan Trainor,All about that bass,no id
2015,3,50,Soprano,Clown,no id
2015,3,51,JUL,Je trouve pas le sommeil,no id
2015,3,52,Louane,Avenir,no id
2015,3,53,Chawki feat. Dr. Alban,It's my life (C'est ma vie),no id
2015,3,54,Ed Sheeran,Don't,no id
2015,3,55,Katy Perry,Legendary lovers,no id
2015,3,56,Alonzo feat. Maître Gims,Dans son sac,no id
2015,3,57,Christine and the Queens,Christine,no id
2015,3,58,Fréro Delavega,Mon petit pays,no id
2015,3,59,Calvin Harris,Blame,no id
2015,3,60,Lino feat. Manon,De rêves et de cendres,no id
