année,semaine,rang,artiste,titre,id_spotify
2018,20,1,Aya Nakamura,Djadja,no id
2018,20,2,Dosseh,Habitué,no id
2018,20,3,Maître Gims & Vianney,La même,no id
2018,20,4,Lartiste feat. Caroliina,Mafiosa,no id
2018,20,5,Kore & L'Algérino,Va Bene,no id
2018,20,6,Damso,Ipséité,no id
2018,20,7,Nicky Jam & J. Balvin,X,no id
2018,20,8,Dadju,Bob Marley,no id
2018,20,9,Calvin Harris & Dua Lipa,One Kiss,no id
2018,20,10,David Guetta & Sia,Flames,no id
2018,20,11,Ninho,Un Poco,no id
2018,20,12,Drake,God's Plan,no id
2018,20,13,Vald,Désaccordé,no id
2018,20,14,Maître Gims & Super Sako feat. Hayko,Mi Gna,no id
2018,20,15,Therapie TAXI feat. Roméo Elvis,Hit Sale,no id
2018,20,16,Tom Walker,Leave a Light On,no id
2018,20,17,Marwa Loud,Fallait Pas,no id
2018,20,18,Marshmello & Anne-Marie,Friends,no id
2018,20,19,"Rudimental feat. Jess Glynne, Macklemore & Dan Caplen",These Days,no id
2018,20,20,Orelsan feat. Stromae,La pluie,no id
2018,20,21,Ariana Grande,No Tears Left To Cry,no id
2018,20,22,Ninho,M.I.L.S 2.0,no id
2018,20,23,Niska,Country,no id
2018,20,24,Naps feat. Soolking,Favela,no id
2018,20,25,LARTISTE,Vai et viens,no id
2018,20,26,S.Pri Noir feat. Nekfeu,Juste pour voir,no id
2018,20,27,Alonzo,Santana,no id
2018,20,28,Vitaa feat. Claudio Capeo,Un peu de rêve,no id
2018,20,29,Madame Monsieur,Mercy,no id
2018,20,30,Drake,Nice For What,no id
2018,20,31,CHILDISH GAMBINO,This Is America,no id
2018,20,32,Dj Erise feat. Aya Nakamura,Pourquoi tu forces,no id
2018,20,33,Marwa Loud,Bad Boy,no id
2018,20,34,Dadju,Reine,no id
2018,20,35,Sofiane,Lundi,no id
2018,20,36,4Keus Gang,Le temps passe,no id
2018,20,37,KeBlack,Complètemment sonné,no id
2018,20,38,Ed Sheeran,Shape Of You,7oJa8bPFKVbq4c7NswXHw8
2018,20,39,"Cardi B, Bad Bunny & J Balvin",I Like It,no id
2018,20,40,Sean Paul & David Guetta feat. Becky G,Mad Love,no id
2018,20,41,El Profesor,Bella ciao,no id
2018,20,42,Soolking,Guerilla,no id
2018,20,43,"David Guetta, Martin Garrix & Brooks",Like I Do,no id
2018,20,44,MAÎTRE GIMS,Caméléon,no id
2018,20,45,Camila Cabello feat. Young Thug,Havana,no id
2018,20,46,LOMEPAL,Yeux disent,no id
2018,20,47,Mister V feat. Samy Ceezy,Viano,no id
2018,20,48,Marwa Loud,Billet,no id
2018,20,49,RÉMY,Bella Ciao,no id
2018,20,50,Djadja & Dinaz,J'souris,no id
2018,20,51,Timal,Arrivant,no id
2018,20,52,Dennis Lloyd,Nevermind,no id
2018,20,53,DJ Snake,Magenta Riddim,no id
2018,20,54,Kygo & Miguel,Remind Me To Forget,no id
2018,20,55,Hoshi,Ta marinière,no id
2018,20,56,Luis Fonsi & Demi Lovato,Échame La Culpa,no id
2018,20,57,Ed Sheeran,Perfect,no id
2018,20,58,Ninho,Fendi,no id
2018,20,59,"MC Fioti feat. Future, J Balvin, Stefflon Don & Juan Magan",Bum Bum Tam Tam,no id
2018,20,60,"Zedd, Maren Morris & Grey",The Middle,no id
2018,20,61,Niska,Réseaux,no id
2018,20,62,Kalash feat. Damso,Mwaka Moon,no id
2018,20,63,Maître Gims feat. Sofiane,Loup garou,no id
2018,20,64,IMAGINE DRAGONS,Whatever It Takes,no id
2018,20,65,Post Malone feat. Ty Dolla $ign,Psycho,no id
2018,20,66,KAARIS,Diarabi,no id
2018,20,67,Moha La Squale,Bandolero,no id
2018,20,68,Kendrick Lamar & SZA,All The Stars,no id
2018,20,69,Feder,Breathe,no id
2018,20,70,Vegedream X DJ Leska,La fuite,no id
2018,20,71,Dadju feat. Maître Gims,Par amour,no id
2018,20,72,Jahyanaï feat. Bamby,Who Mad Again,no id
2018,20,73,The Weeknd,Call Out My Name,no id
2018,20,74,Naps,Recherché,no id
2018,20,75,Skg,Casa de papel,no id
2018,20,76,Luis Fonsi feat. Daddy Yankee,Despacito,no id
2018,20,77,Bad Wolves,Zombie,no id
2018,20,78,Marwa Loud,Qu'est ce que t'as ?,no id
2018,20,79,Liam Payne & Rita Ora,For You (Fifty Shades Freed),no id
2018,20,80,Bazzi,Mine,no id
2018,20,81,Lost Frequencies & Zonderling,Crazy,no id
2018,20,82,Eddy de Pretto,Fête de trop,no id
2018,20,83,Big Boi,All Night,no id
2018,20,84,Post Malone feat. 21 Savage,rockstar,no id
2018,20,85,XXXTENTACION,Sad!,no id
2018,20,86,Eddy de Pretto,Kid,no id
2018,20,87,Ninho,Boîte auto,no id
2018,20,88,Ninho,Coffrer,no id
2018,20,89,Ofenbach vs. Nick Waterhouse,Katchi,no id
2018,20,90,Portugal. The Man,Feel It Still,no id
2018,20,91,LORENZO,Carton rouge,no id
2018,20,92,Dua Lipa,Idgaf,no id
2018,20,93,Post Malone,Better Now,no id
2018,20,94,Moha La Squale,La BP,no id
2018,20,95,Djadja & Dinaz,Non non,no id
2018,20,96,LARTISTE,Catchu Catchu,no id
2018,20,97,Charlie Puth feat. Kehlani,Done For Me,no id
2018,20,98,Damso,Macarena,no id
2018,20,99,LORENZO,Tu le C,no id
2018,20,100,S.PRI NOIR,Fusée Ariane,no id
2018,20,101,Justin Timberlake feat. Chris Stapleton,Say Something,no id
2018,20,102,Damso,TieksVie,no id
2018,20,103,BOOBA,Gotham,no id
2018,20,104,Bigflo & Oli,Dommage,no id
2018,20,105,Timal,Rien de nouveau,no id
2018,20,106,Niska,Salé,no id
2018,20,107,Niska,Medellín,no id
2018,20,108,Jax Jones feat. Ina Wroldsen,Breathe,no id
2018,20,109,Kygo feat. Justin Jesso,Stargazing,no id
2018,20,110,Damso,E. Signaler,no id
2018,20,111,Eminem feat. Ed Sheeran,River,no id
2018,20,112,XXXTENTACION,Moonlight,no id
2018,20,113,Selena Gomez & Marshmello,Wolves,no id
2018,20,114,Cecilia Krull,My Life Is Going On,no id
2018,20,115,SELENA GOMEZ,Back To You,no id
2018,20,116,Timal feat. Meryl,Cartel,no id
2018,20,117,Netta,Toy,no id
2018,20,118,Slimane,Viens on s'aime,no id
2018,20,119,Niska feat. Booba,Tuba Life,no id
2018,20,120,Avicii feat. Rita Ora,Lonely Together,no id
2018,20,121,Migos feat. Drake,Walk It Talk It,no id
2018,20,122,Damso,C. Mosaïque solitaire,no id
2018,20,123,Maître Gims feat. Dadju,Tu ne le vois pas,no id
2018,20,124,Timal,Dans la ville,no id
2018,20,125,Daddy Yankee,Dura,no id
2018,20,126,Dj Kayz feat. Wassila & Scridge,Jour J,no id
2018,20,127,IMAGINE DRAGONS,Thunder,no id
2018,20,128,Marwa Loud,Calma,no id
2018,20,129,Ninho feat. Yaro,44,no id
2018,20,130,Orelsan,Basique,no id
2018,20,131,Zayn feat. Sia,Dusk Till Dawn,no id
2018,20,132,Hornet La Frappe & Osvald 'Vald' Egeland,Valise,no id
2018,20,133,J. Balvin & Willy William,Mi Gente,no id
2018,20,134,BOOBA,Friday,no id
2018,20,135,Siboy feat. Benash & Damso,Mobali,no id
2018,20,136,"4Keus feat. Naza, Keblack & Dry",Mignon garçon,no id
2018,20,137,Kaaris feat. Kalash Criminel & Sofiane,Bling Bling,no id
2018,20,138,Clean Bandit feat. Julia Michaels,I Miss You,no id
2018,20,139,LOMEPAL,Tout lâcher,no id
2018,20,140,IMAGINE DRAGONS,Believer,no id
2018,20,141,Naza,Remontada,no id
2018,20,142,Ninho,Pavé,no id
2018,20,143,Damso,Tueurs,no id
2018,20,144,Charlie Puth,Attention,no id
2018,20,145,Niro,On est prêt,no id
2018,20,146,Dadju feat. Niska,Sous contrôle,no id
2018,20,147,Maître Gims feat. Lil Wayne & French Montana,Corazón,no id
2018,20,148,Orelsan,Défaite de famille,no id
2018,20,149,D. ACE,Mangas 2,no id
2018,20,150,The Weeknd & Kendrick Lamar,Pray For Me,no id
2018,20,151,BlocBoy JB feat. Drake,Look Alive,no id
2018,20,152,AVICII,Wake Me Up,no id
2018,20,153,Vitaa feat. Jul,Ca les dérange,no id
2018,20,154,Sia feat. Sean Paul,Cheap Thrills,1ZMYMTP0S4hp9AlGkAWWjt
2018,20,155,French Montana feat. Swae Lee,Unforgettable,no id
2018,20,156,Abou Debeing feat. Dadju,C'est pas bon,no id
2018,20,157,Timal,La 9 (Ruinart),no id
2018,20,158,Damso,Fais-moi un Vie,no id
2018,20,159,Ninho feat. Nekfeu,De l'autre côté,no id
2018,20,160,Timal,Maria,no id
2018,20,161,D. ACE,Petite sœur,no id
2018,20,162,Kendji Girac,Maria Maria,no id
2018,20,163,S.Pri Noir feat. Nemir,Mon Crew,no id
2018,20,164,Bigflo & Oli feat. Notre père Fabian,Papa,no id
2018,20,165,Orelsan,Tout va bien,no id
2018,20,166,Hornet La Frappe,Bourgeoisie,no id
2018,20,167,Ninho,Rose,no id
2018,20,168,S.Pri Noir feat. Haute,Finesse,no id
2018,20,169,Sadek feat. Ninho,Madre mia,no id
2018,20,170,Khalid & Normani,Love Lies,no id
2018,20,171,Shawn Mendes,In My Blood,no id
2018,20,172,Therapie TAXI,Salop(e),no id
2018,20,173,Vianney,Je m'en vais,4PjzLR7aNOp49fLvTueyB2
2018,20,174,Dadju feat. Franglish,Django,no id
2018,20,175,BOOBA,Petite fille,no id
2018,20,176,Roméo Elvis & Le Motel,Drôle de question,no id
2018,20,177,Vald,Gris,no id
2018,20,178,Dry feat. Dadju,Tant pis,no id
2018,20,179,MAÎTRE GIMS,Gunshot,no id
2018,20,180,Rag'n'Bone Man,Human,2Tjk7cYdH5s6dFhrmmRIw1
2018,20,181,Lartiste feat. Naza,Attache ta ceinture,no id
2018,20,182,IMAGINE DRAGONS,Next To Me,no id
2018,20,183,Marwa Loud feat. Jul,Ça y est,no id
2018,20,184,Vegedream,Marchand de sable Part. 4 (Du SAal),no id
2018,20,185,Berlin feat. El Profesor,Bella Ciao,no id
2018,20,186,Ninho,Bavard,no id
2018,20,187,Djadja & Dinaz,Brassard,no id
2018,20,188,Lefa feat. Orelsan,Potentiel,no id
2018,20,189,Charlie Puth,How Long,no id
2018,20,190,D. ACE,Pardonne-moi,no id
2018,20,191,S.PRI NOIR,Papillon,no id
2018,20,192,S.PRI NOIR,Nymeria,no id
2018,20,193,S.PRI NOIR,Baby Gyal,no id
2018,20,194,S.PRI NOIR,Highlander,no id
2018,20,195,Hamza,Life,no id
2018,20,196,Petit Biscuit,Sunset Lover,no id
2018,20,197,Damso,N. J Respect R,no id
2018,20,198,Vitaa feat. Stromae,Comme dab,no id
2018,20,199,Timal,Pirate,no id
2018,20,200,Vald feat. Sofiane,Dragon,no id
2018,22,1,Dosseh,Habitué,no id
2018,22,2,"Naestro feat. Maître Gims, Vitaa, Dadju & Slimane",Bella ciao,no id
2018,22,3,Maître Gims & Vianney,La même,no id
2018,22,4,Aya Nakamura,Djadja,no id
2018,22,5,Lartiste feat. Caroliina,Mafiosa,no id
2018,22,6,Nicky Jam & J. Balvin,X,no id
2018,22,7,Calvin Harris & Dua Lipa,One Kiss,no id
2018,22,8,Kore & L'Algérino,Va Bene,no id
2018,22,9,Damso,Ipséité,no id
2018,22,10,David Guetta & Sia,Flames,no id
2018,22,11,Alonzo,Santana,no id
2018,22,12,Dadju,Bob Marley,no id
2018,22,13,Ninho,Un Poco,no id
2018,22,14,4Keus Gang,Le temps passe,no id
2018,22,15,Drake,God's Plan,no id
2018,22,16,Maître Gims & Super Sako feat. Hayko,Mi Gna,no id
2018,22,17,Therapie TAXI feat. Roméo Elvis,Hit Sale,no id
2018,22,18,Moha La Squale,Bandolero,no id
2018,22,19,Marshmello & Anne-Marie,Friends,no id
2018,22,20,Tom Walker,Leave a Light On,no id
2018,22,21,Ariana Grande,No Tears Left To Cry,no id
2018,22,22,Vald,Désaccordé,no id
2018,22,23,Vitaa feat. Claudio Capeo,Un peu de rêve,no id
2018,22,24,"Rudimental feat. Jess Glynne, Macklemore & Dan Caplen",These Days,no id
