année,rang,artiste,titre,id_spotify
1994,1,"N'DOUR, YOUSSOU & CHERRY, NENEH",7 SECONDS,no id
1994,2,I AM,JE DANSE LE MIA,no id
1994,3,"REEL 2 REAL & STUNTMAN, MAD",I LIKE TO MOVE,no id
1994,4,"RED, AXELLE",SENSUALITE,no id
1994,5,"SPRINGSTEEN, BRUCE",STREETS OF PHILADELPHIA (B.O.F.),no id
1994,6,"ZE KICK, BILLY & GAMINS EN FOLIE, LES",MANGEZ-MOI !,no id
1994,7,RAM JAM,BLACK BETTY (MUSIQUE DU SPOT TV DU PARFUM 'REBEL' DE GEMEY),no id
1994,8,"CAREY, MARIAH",WITHOUT YOU,no id
1994,9,CORONA,THE RHYTHM OF THE NIGHT,no id
1994,10,EAST 17,IT'S ALRIGHT,no id
1994,11,"CLIFF, JIMMY",I CAN SEE CLEARLY NOW (B.O.F. 'RASTA ROCKETT'),no id
1994,12,"DION, CELINE",THE POWER OF LOVE,no id
1994,13,"PAUSINI, LAURA",LA SOLITUDINE,no id
1994,14,WET WET WET,LOVE IS ALL AROUND (B.O.F. '4 MARIAGES ET UN ENTERREMENT'),no id
1994,15,ALL FOR ONE,I SWEAR,no id
1994,16,ACE OF BASE,HAPPY NATION,no id
1994,17,ACE OF BASE,THE SIGN,no id
1994,18,"JOHN, ELTON",CAN YOU FEEL THE LOVE TONIGHT,no id
1994,19,"CAREY, MARIAH",HERO,no id
1994,20,"BREEDERS, THE",CANNONBALL,no id
1994,21,"COSTA, KARINE & LEVI, DANIEL",ALADDIN (CE REVE BLEU) (B.O.F.),no id
1994,22,TONTON DAVID,SUR ET CERTAIN,no id
1994,23,MO-DO,"EINS, ZWEI, POLIZEI",no id
1994,24,BIG MOUNTAIN,"BABY, I LOVE YOUR WAY",no id
1994,25,M.PEOPLE,MOVING ON UP,no id
1994,26,MADONNA,SECRET,no id
1994,27,MASTERBOY,FEEL THE HEAT OF THE NIGHT,no id
1994,28,PRINCE,THE MOST BEAUTIFUL GIRL IN THE WORLD,no id
1994,29,SNOOP DOGGY DOGG,WHAT'S MY NAME,no id
1994,30,WHIGFIELD,SATURDAY NIGHT,no id
1994,31,STILSTSKIN,INSIDE,no id
1994,32,CRASH TEST DUMMIES,MMM MMM MMM MMM,no id
1994,33,"BRUEL, PATRICK",COMBIEN DE MURS...,no id
1994,34,ICE MC,THINK ABOUT THE WAY,no id
1994,35,BOYZ II MEN,I'LL MAKE LOVE TO YOU,no id
1994,36,PINK FLOYD,HIGH HOPES,no id
1994,37,CULTURE BEAT,ANYTHING,no id
1994,38,ICE MC,IT'S A RAINY DAY,no id
1994,39,COUNTING CROWS,MR. JONES,no id
1994,40,"ADAMS, BRYAN",PLEASE FORGIVE ME,no id
1994,41,QUENCH,DREAMS,no id
1994,42,"PAGNY, FLORENT",SI TU VEUX M'ESSAYER,no id
1994,43,MEAT LOAF,I'D DO ANYTHING FOR LOVE,no id
1994,44,2 UNLIMITED,THE REAL THING,no id
1994,45,CHARLES & EDDIE,SHINE (SPOT TV 'NOUVELLE FIESTA NEWPORT'),no id
1994,46,ENIGMA,THE RETURN TO INNOCENT,no id
1994,47,"OLDLAND, MISTY",A FAIR AFFAIR,no id
1994,48,"LAUPER, CYNDI",GIRLS JUST WANT TO HAVE FUN,no id
1994,49,NIRVANA,ALL APOLOGIES,no id
1994,50,BLUR,GIRLS AND BOYS,no id
1995,1,"DION, CELINE",POUR QUE TU M'AIMES ENCORE,no id
1995,2,"CRANBERRIES, THE",ZOMBIE,no id
1995,3,"SCATMAN, JOHN",SCATMAN,no id
1995,4,INDIAN SACRED SPIRIT,YEHA NOHA,no id
1995,5,ALLIANCE ETHNIK,RESPECT,no id
1995,6,"DION, CELINE",JE SAIS PAS,no id
1995,7,COOLIO & L.V.,GANGSTA'S PARADISE (EXTRAIT DE LA B.O.F. 'DANGEROUS MINDS'),no id
1995,8,"SCATMAN, JOHN",SCATMAN'S WORLD,no id
1995,9,INI KAMOZE,HERE COMES THE HOTSTEPPER (EXTRAIT B.O.F. 'PRET-A-PORTER'),no id
1995,10,"JACKSON, MICHAEL",YOUR ARE NOT ALONE,no id
1995,11,740 BOYS,SHIMMY SHAKE,no id
1995,12,ALLIANCE ETHNIK,SIMPLE ET FUNKY,no id
1995,13,"ADAMS, BRYAN",HAVE YOU EVER REALLY LOVED A WOMAN,no id
1995,14,"KING, DIANA",SHY GUY,no id
1995,15,"OUTHERE BROTHERS, THE",BOOM BOOM BOOM,no id
1995,16,BON JOVI,ALWAYS,no id
1995,17,"DOPE, KENNY & BUCKETHEADS, THE",THE BOMB,no id
1995,18,20 FINGERS,SHORT DICK MAN,no id
1995,19,"COLLINS, EDWYN",A GIRL LIKE YOU,no id
1995,20,MN8,I'VE GOT A LITTLE SOMETHING FOR YOU,no id
1995,21,K.O.D.,CHACUN SA ROUTE (B.O.F.),no id
1995,22,"BOUCHE, LA",BE MY LOVER,no id
1995,23,"JOHN, ELTON",CAN YOU FEEL THE LOVE TONIGHT,no id
1995,24,"CAREY, MARIAH",FANTASY,no id
1995,25,"PAUL, BILLY",YOUR SONG,no id
1995,26,"LAVILLIERS, BERNARD & CLIFF, JIMMY",MELODY TEMPO HARMONY,no id
1995,27,"CLIFF, JIMMY & LEBO M",HAKUNA MATATA,no id
1995,28,"CRANBERRIES, THE",ODE TO MY FAMILY,no id
1995,29,N-TRANCE & RICARDO DA FORCE,STAYIN'ALIVE,no id
1995,30,ZUCCHERO,IL VOLO,no id
1995,31,NIGHTCRAWLERS,PUSH THE FEELING ON,no id
1995,32,SISTER QUEEN,LET ME BE A DRAG QUEEN,no id
1995,33,"CONNELLS, THE",'74 - '75,no id
1995,34,BON JOVI,THIS AIN'T A LOVE SONG,no id
1995,35,U 2,"HOLD ME, THRILL ME, KISS ME, KILL ME",no id
1995,36,TAKE THAT,BACK FOR GOOD,no id
1995,37,NO SE & MENELIK,QUELLE AVENTURE !,no id
1995,38,SUPREME N.T.M.,LA FIEVRE,no id
1995,39,ALLIANCE ETHNIK,HONESTY ET JALOUSIE,no id
1995,40,"JACKSON, JANET",WHOOPS NOW,no id
1995,41,SEAL,KISS FROM A ROSE (LOVE THEME FROM 'BATMAN FOREVER') (B.O.F.),no id
1995,42,"FARMER, MYLENE",XXL,no id
1995,43,"OBISPO, PASCAL",TOMBE POUR ELLE,no id
1995,44,"MIKE & MECHANICS, THE",OVER MY SHOULDER,no id
1995,45,SHAGGY,BOOMBASTIC (B.O. DE LA PUB 'LEVI'S'),no id
1995,46,"CROW, SHERYL",ALL I WANNA DO,no id
1995,47,NIGHTCRAWLERS,SURRENDER YOUR LOVE,no id
1995,48,ACE OF BASE,LUCKY LOVE,no id
1995,49,20 FINGERS & ROULA,LICK IT,no id
1995,50,REDNEX,COTTON EYE JOE,no id
1995,51,"SCHTROUMPFS, LES",NO NO NO,no id
1995,52,WHIGFIELD,SATURDAY NIGHT,no id
1995,53,MASTERBOY,GENERATION OF LOVE,no id
1995,54,E-TYPE,THIS IS THE WAY,no id
1995,55,"JACKSON, MICHAEL",EARTH SONG,no id
1995,56,MADONNA,SECRET,no id
1995,57,EAST 17,STAY ANOTHER DAY,no id
1995,58,"VINCENT, FRANCKY",FRUIT DE LA PASSION,no id
1995,59,"JACKSON, MICHAEL & JACKSON, JANET",SCREAM,no id
1995,60,WARREN G & NATE,REGULATE,no id
1995,61,MELLOWMAN,LA VOIE DU MELLOW,no id
1995,62,"MENELIK & TRIBU, LA",TOUT BAIGNE (REMIX),no id
1995,63,BROWNSTONE,IF YOU LOVE ME,no id
1995,64,"DAVIS, DEBBIE",L'HISTOIRE DE LA VIE,no id
1995,65,CORONA,TRY ME OUT,no id
1995,66,"LENNOX, ANNIE",A WHITER SHADE OF...,no id
1995,67,QUEEN,HEAVEN FOR EVERYONE,no id
1995,68,PRESIDENTS OF THE USA,L.U.M.P.,no id
1995,69,"OFFSPRING, THE",COME OUT AND PLAY,no id
1995,70,"OFFSPRING, THE",SELF ESTEEM,no id
1995,71,"RED, AXELLE",JE T'ATTENDS,no id
1995,72,DR DRE,KEEP THEIR HEADS RINGING (EXTRAIT DE LA B.O.F. 'FRIDAY'),no id
1995,73,"JOHN, ELTON",BELIEVE,no id
1995,74,SCOOTER,MOVE YOUR ASS,no id
1995,75,"MINOGUE, KYLIE",CONFIDE IN ME,no id
1995,76,EVERYTHING BUT THE GIRL,MISSING,no id
1995,77,CORONA,BABY BABY,no id
1995,78,MASTERBOY,IS THIS THE LOVE,no id
1995,79,"BOUCHE, LA",FALLIN'IN LOVE,no id
1995,80,MN 8,IF YOU ONLY LET ME IN,no id
1995,81,"WINTER, OPHELIE",DIEU M'A DONNE LA FOI,no id
1995,82,BOYZ II MEN,I'LL MAKE LOVE TO YOU,no id
1995,83,NIRVANA,ABOUT A GIRL,no id
1995,84,MASTERBOY,MEGAMIX,no id
1995,85,URGE OVERKILL,GIRL YOU'LL BE A WOMAN SOON,no id
1995,86,T.L.C.,WATERFALLS,no id
1995,87,DES'REE,YOU GOTTA BE,no id
1995,88,"COSTA, KARINE",YOU,no id
1995,89,"LENNOX, ANNIE",NO MORE I LOVE YOU'S,no id
1995,90,"PASSENGERS, THE",MISS SARAJEVO,no id
1995,91,"CABREL, FRANCIS",LA CORRIDA,no id
1995,92,SIMPLY RED,FAIRGROUND,no id
1995,93,PUSSY,SUCK MY PUSSY,no id
1995,94,"HALLYDAY, JOHNNY",NE M'OUBLIE PAS,no id
1995,95,"JACKSON, JANET",RUNAWAY,no id
1995,96,WINX,DON'T LAUGH,no id
1995,97,"HALLYDAY, JOHNNY",J'LA CROISE TOUS LES MATINS,no id
1995,98,ICE MC,MEGAMIX,no id
1995,99,B.O.F.,POCAHONTAS,no id
1995,100,"LE FORESTIER, MAXIME",PASSER MA ROUTE,no id
1996,1,LOS DEL RIO,MACARENA,no id
1996,2,CARRAPICHO,"TIC, TIC, TAC",no id
1996,3,GALA,FREED FROM DESIRE,no id
1996,4,KHALED,AICHA,no id
1996,5,THE FUGEES,KILLING ME SOFTLY,no id
1996,6,SPICE GIRLS,WANNABE,no id
1996,7,ROBERT MILES,CHILDREN,no id
1996,8,FOOL'S GARDEN,LEMON TREE,no id
1996,9,MARK SNOW,"THE X-FILES (D.O.""AU FRONTIERES DU REEL"")",no id
1996,10,WORLDS APART,JE TE DONNE,no id
1996,11,BORIS,SOIREE DISCO,no id
1996,12,LOS DEL MAR,MACARENA,no id
1996,13,NO MERCY,WHERE DO YOU GO,no id
1996,14,COOLIO & L.V.,"GANGSTA'S PARADISE (EXTRAIT DE LA B.O.F. ""DANGEROUS MIDS"")",no id
1996,15,KHADJA NIN,SAMBOLERA MAYI SON,no id
1996,16,OPHELIE WINTER,DIEU M'A DONNE LA FOI,no id
1996,17,BORIS,MISS CAMPING,no id
1996,18,NAS,IF I RULED THE WORLD,no id
1996,19,BABYLON ZOO,SPACEMAN (B.O.F. PUB LEVI'S),no id
1996,20,WORLDS APART,BABY COME BACK,no id
1996,21,GEORGE MICHAEL,FASTLOVE,no id
1996,22,FLORENT PAGNY,CARUSO,no id
1996,23,BBE,SEVEN DAYS AND ONE WEEK,no id
1996,24,MICHAEL JACKSON,THEY DON'T CARE ABOUT US,no id
1996,25,ROBERT MILES,FABLE,no id
1996,26,EROS RAMAZZOTTI,PIU BELLA COSA,no id
1996,27,LE FESTIVAL ROBLES,MA CARAVANE,no id
1996,28,PHILIPPE CANDELON & BARBARA SCAFF,TERRE INDIGO (B.O.F.),no id
1996,29,EVERYTHING BUT THE GIRL,MISSING,no id
1996,30,RECIPROK,BALANCE TOI,no id
1996,31,JOHNNY HALLYDAY,L'HYMNE A L'AMOUR,no id
1996,32,LUNIZ,I GOT FIVE ON IT,no id
1996,33,TERI MOISE,LES POEMES DE MICHELLE,no id
1996,34,LES CHEVALIERS DU FIEL,JE TE PRENDRAI NUE DANS LA SIMCA 1000,no id
1996,35,LILICUB,VOYAGE EN ITALIE,no id
1996,36,MARK MORRISON,RETURN OF THE MACK,no id
1996,37,WORLDS APART,EVERYBODY,no id
1996,38,3 T,ANYTHING,no id
1996,39,COOLIO,"1,2,3,4",no id
1996,40,OPHELIE WINTER,LE FEU QUI M'ATTISE,no id
1996,41,BACKSTREET BOYS,WE GOT IT GOING ON,no id
1996,42,ZHI-VAGO,CELEBRATE,no id
1996,43,3 T FEATURING MICHAEL JACKSON,WHY,no id
1996,44,SPICE GIRLS,SAY YOU'LL BE THERE,no id
1996,45,2 BE 3,PARTIR UN JOUR,no id
1996,46,HELENE SEGARA,JE VOUS AIME ADIEU,no id
1996,47,ERIC CLAPTON,CHANGE THE WORLD,no id
1996,48,BEAT SYSTEM,FRESH,no id
1996,49,CELINE DION,ALL BY MYSELF,no id
1996,50,AKHENATON,BAD BOYS DE MARSEILLE,no id
1996,51,DONNA LEWIS,I LOVE YOU ALWAYS FOR EVER,no id
1996,52,LARRY MULLEN & ADAM CLAYTON,MISSION : IMPOSSIBLE (B.O.F.),no id
1996,53,GENERATION DISCO,GENERATION DISCO,no id
1996,54,WORLDS APART,EVERLASTING LOVE,no id
1996,55,JOAN OSBORNE,ONE OF US,no id
1996,56,G SQUAD,RAIDE DINGUE DE TOI,no id
1996,57,ALANIS,IRONIC,no id
1996,58,GEORGE MICHAEL,A JESUS TO A CHILD,no id
1996,59,MARIAH CAREY & BOYZ II MEN,ONE SWEET DAY,no id
1996,60,OPHELIE WINTER,SHAME ON U,no id
1996,61,NENEY CHERRY,WOMAN,no id
1996,62,PETER KITSCH & OLIVIA STARRING,ABC POUR CASSER,no id
1996,63,MYLENE FARMER,CALIFORNIA,no id
1996,64,CELINE DION,BECAUSE YOU LOVED ME (B.O.F.),no id
1996,65,ZUCCHERO,FEELS LIKE A WOMAN,no id
1996,66,TINA TURNER,"GOLDEN EYE (EXTRAI DE LA B.O.F. ""JAMES BOND 007"")",no id
1996,67,MYLENE FARMER,L'INSTANT X,no id
1996,68,PARADISIO,BAILANDO,no id
1996,69,SCORPIONS,YOU AND I,no id
1996,70,JAMIROQUAI,VIRTUAL INSANITY,no id
1996,71,ALABINA,ALABINA,no id
1996,72,MICHAEL JACKSON,EARTH SONG,no id
1996,73,BACKSTREET BOYS,GET DOWN,no id
1996,74,MEPHISTO,VOICES,no id
1996,75,LES SCHTROUMPFS,MOI J'AIME DANSER (B.O.F.),no id
1996,76,QUEEN,YOU DON'T FOOL ME,no id
1996,77,2 PAC,CALIFORNIA LOVE,no id
1996,78,FLORENT PAGNY & LA CHORALE DE SARCELLES,OH HAPPY DAY,no id
1996,79,DANNY BRILLANT,QUAND JE VOIS TES YEUX,no id
1996,80,BIG SOUL,LE BRIO,no id
1996,81,ZUCCHERO,IL VOLO,no id
1996,82,PASCAL OBISPO,PERSONNE,no id
1996,83,MAD IN PARIS,PARIS A LE BLUES,no id
1996,84,DJ DADO,X-FILES,no id
1996,85,NADA SURF,POPULAR,no id
1996,86,WARREN G,WHAT'S LOVE GOT TO DO WITH IT,no id
1996,87,K'S CHOISE,NOT AN ADDICT,no id
1996,88,TONTON DAVID & CHEB MAMI,FUGITIF,no id
1996,89,DOC GYNECO,VIENS VOIR LE DOCTEUR,no id
1996,90,PETER ANDRE,MYSTERIOUS GIRL,no id
1996,91,MR. PRESIDENT,COCO JAMBOO,no id
1996,92,CELINE DION,FALLING INTO YOU,no id
1996,93,N-TRANCE,ELECTRONIC PLEASURE,no id
1996,94,RADIOHEAD,CREEP,no id
1996,95,JANE BIRKIN,LA GADOUE,no id
1996,96,BOYZONE,LOVE ME FOR A REASON,no id
1996,97,CORONA,I DON'T WANNA BE A STAR,no id
1996,98,SEX ALARM,SIREN,no id
1996,99,BOYZONE,FATHER AND SON,no id
1996,100,GUSTO,DISCO' REVENGE,no id
1997,1,ELTON JOHN,SOMETHING ABOUT… - CANDLE IN THE WIND,no id
1997,2,RICKY MARTIN,"MARIA (UN, DOS, TRES)",no id
1997,3,WES,ALANE,no id
1997,4,ANDREA BOCELLI,CON TE PARTIRO,no id
1997,5,AQUA,BARBIE GIRL,no id
1997,6,FLORENT PAGNY,SAVOIR AIMER,no id
1997,7,WILL SMITH,MEN IN BLACK (BOF),no id
1997,8,PUFF DADDY & FAITH EVANS…,I'LL BE MISSING YOU,no id
1997,9,LARA FABIAN,TOUT,no id
1997,10,POETIC LOVER,PRENONS NOTR TEMPS,no id
1997,11,BELLINI,SAMBA DE JANEIRO,no id
1997,12,HANSON,MMMBOP,no id
1997,13,GALA,LET A BOY CRY,no id
1997,14,MADONNA,DON'T CRY FOR ME ARGENTINA,no id
1997,15,DAVID CHARVET,SHOULD I LEAVE,no id
1997,16,NATHALIE CARDONE,HASTA SIEMPRE,no id
1997,17,ALLIAGE & BOYZONE,TE GARDER PRES DE MOI,no id
1997,18,NO DOUBT,DON'T SPEAK,no id
1997,19,FELICIDAD,DAM DAM DEO,no id
1997,20,HERMES HOUSE BAND,I WILL SURVIVE,no id
1997,21,PASCAL OBISPO,LUCIE,no id
1997,22,PHENOMENAL CLUB,IL EST VRAIMENT PHENOMENAL,no id
1997,23,SPICE GIRLS,SPICE UP YOUR LIFE !,no id
