artist_name,artist_id
Various Artists,0LyfQWJT6nXafLPZqxe9Of
Agatha Christie,4595CWJPjjJpFDFb3ppRNA
Ethel Waters,3INcDDCxVKMIQT6rfR7kud
Screamin' Jay Hawkins,3VBpsrUi2vV7Uj87ONHu7Z
Mamie Smith,2HS2wQTJXpA65XWOKlAVxk
Clarence Williams,5zjKpiCCiuKiT6uhSt7aFe
Lewis James,7H4MBMPBs854pxtDjvnU3P
Sparky,2fFFMlm1GjACMVicCOEg2T
James P. Johnson,0BMlIte9CqjItQ6mh2GoGi
Franz Liszt,1385hLNbrnbCJGokfH2ac2
Wasted180,6OidX3zME8oQTpdWydktTR
Dick Haymes,3BiJGZsyX9sJchTqcSA7Su
Cab Calloway,03cwCzIWQ8BRmXjGPDAL04
Ben Selvin & His Orchestra,1XpbvmczuA8d6CgMYlJvU6
sevenxeight_,2PpBInHcu4S7orsFUPISbu
Cult Of Fire,1GNzgaXdYGtEP5xOqCsdSq
Reynaldo Hahn,6Eu8djOGFxGaykaqJlbzEf
ٴٴٴٴٴٴٴٴٴٴٴٴٴ,5hwkTSCvP2K8KhCbccqnSm
enesfx,6J5m8RAxbj6zC2nvSLbk8B
Nikow,1ewZuAmm3Em0KlM0pIBwVe
Billy Jones,6zjCA3n8DwVeTC5zwAQ4jT
Frank Crumit,75mtW2jTMIh76sywi9vLUU
Joaquín Turina,7BBeyjFsQR00OkYCXKyA5N
Edith Day,7KkovvZ2IKNwvRwaQvjcgt
PROFIT,2tzgruCTyqgpc6UyB2Kqgh
Artie Shaw,5wam12nGWDBIrLDV78TNSF
Two Charming Men,55D4onuHywKqxudGNNCDKq
The Georgians,58LQXzq5kNsvPQdviB4ZyL
Jake Backman,0P4O71ZVOJE9dRLZ4LfcQe
DJmegan23,56zdYcwtmdYq3WlBYQeHoA
Simona Bencini,0NxoyZRpZvbLRgIr8QCv2U
MISHANYATOP,1v7dHPYQO5uDR9kSRCDAXK
Serbest Jajan سربست جاجان,4vC6sc3qorAWLQvJXSbYON
Alberto Nepomuceno,5BFlhpaPculZIatjhoistC
keliejah,6y8WfOB5KM9o7C1PuUXcgA
BLECHNER,4LxJjiGxqDCEl4xp6BHkus
The Flash Alien Fingers,6Wv6lFSlyJODMliSM4St1K
Gustavo Obligado,131uUzVpk8YDROJ5BIovss
Coper ElReal,6pFqVCxmKKS4TEF73ZwX6G
محمد الإدريسي,2Tajy34CSLU6YecyvPB1kr
Topchef Records,4A1rOn1oDBIkHurrF2uZcl
XeYn,6xCZNbDGUvcy1e3MhTfuQZ
Anal Gland Discharge,2NJz9URX90w8K0w7ZCgLDG
Swiss P,6FUvtA5hMNEMsRjZh5MX2f
1400 Gzus,0USQIFRJ01zYejp527RrWM
YL Cootie,3WeYiG1koEaR6PyjdIEwZQ
Racc,6fAeXylygZ87u1Ny1Z0jbv
Donald Chalmers,0tGCMxkVs87g0uqyNYVCo1
Chick Webb,7AgtFmxbJL1wDbp7yYrzQb
drapsag LPDB,21UcFRQLpNvP4F0KVAGWc8
Harry A. Yerkes' Dance Orchestra,6nj3uBLXjdTwJkQfzYAy1v
Oscar Velazquez,1kC8lmaSblf7GyK915496r
Joseph Knecht's Waldorf-Astoria Dance Orchestra,2IF1MCBsDfC5mk5jxTZbfv
Little Jacob,17ARV9XJ8ogRY7ba0UCcSu
Justrock,5IP77wJUjVduxQuSrKDoXQ
Kaxözæ,5c1l86K6S6kwClbnjN0LPP
L'oracle,3ALfGdhLUxJGb0s4XRX6oG
wfaas alfass,5j7z7KjoHQ1cDzz0z7xvww
Isham Jones,4OWTlYl5kkhaZEsyjUhouC
